pdbId	chainIds1	chainIds2	scopes1	scopes2
4y7o	C	A	0.0.0.0	0.0.0.0
3kcp	B	A	b.2.2.2	0.0.0.0
3ihq	B	A	a.60.3.1	c.47.1.12
5dfl	B	A	d.15.1.1	a.5.2.1:d.20.1.1
4kjy	A	B	0.0.0.0	b.1.1.0
2qho	A	B	d.15.1.1	0.0.0.0
1h1v	A	G	c.55.1.1:c.55.1.1	d.109.1.1:d.109.1.1:d.109.1.1
5l6i	B	A	d.15.1.1	0.0.0.0
1xfw	O	A	a.39.1.5	0.0.0.0
4udt	A	B	b.1.1.0:b.1.1.2	b.1.1.0:b.1.1.0
5x0w	A	B	0.0.0.0	0.0.0.0
4m4r	B	A	b.6.1.5	0.0.0.0
2nts	P	A	b.1.1.0:b.1.1.2	b.40.2.0:d.15.6.1
2vsx	F	B	0.0.0.0	c.37.1.0:c.37.1.0
2ca4	A	B	0.0.0.0	0.0.0.0
4qhn	B	A	b.1.1.0:b.1.1.2	0.0.0.0
4jde	B	A	0.0.0.0	0.0.0.0
4tps	B	A	0.0.0.0	0.0.0.0
5bz0	B	A	d.15.1.1	0.0.0.0
4j4l	C	A	0.0.0.0	0.0.0.0
5uiw	B	A	d.9.1.1	0.0.0.0
5k04	A	B	0.0.0.0	0.0.0.0
4x6b	B	A	b.1.1.0:b.1.1.0	b.1.1.0:b.1.1.2
5dob	A	B	0.0.0.0	0.0.0.0
4nl9	A	C	0.0.0.0	0.0.0.0
3d0h	B	F	d.92.1.5	d.318.1.1
5oqq	D	B	0.0.0.0	0.0.0.0
5fq0	A	B	0.0.0.0	0.0.0.0
5tb5	A	B	0.0.0.0	b.1.18.8
5hps	A	B	d.148.1.0	d.15.1.0
4n88	D	C	0.0.0.0	0.0.0.0
5ixi	B	A	0.0.0.0	0.0.0.0
5c9j	B	A	b.1.1.2	b.1.1.0:d.19.1.0
5jwo	A	B	0.0.0.0	c.47.1.15
1y01	B	A	a.1.1.2	a.7.11.1
1uea	A	B	d.92.1.11	b.40.3.1
5u1s	A	B	0.0.0.0	0.0.0.0
5vgb	A	B	0.0.0.0	0.0.0.0
5ogi	A	B	b.121.2.0:b.121.2.2	b.1.1.0:b.1.1.0
1zmy	A	L	b.1.1.1	d.2.1.2
3tix	B	A	0.0.0.0	0.0.0.0
5svh	A	B	a.12.1.1	0.0.0.0
4i1n	B	A	b.1.1.1	c.71.1.1
3h5c	A	B	0.0.0.0	0.0.0.0
6fv0	A	F	0.0.0.0	b.1.1.1
5y2z	A	B	0.0.0.0	0.0.0.0
1z0j	A	B	c.37.1.8	a.2.19.1
5oob	F	G	0.0.0.0	0.0.0.0
4rhz	A	B	0.0.0.0	0.0.0.0
5lxa	A	H	0.0.0.0	b.1.1.0
1jma	A	B	b.1.1.1	g.24.1.1:g.24.1.1
5imo	B	A	0.0.0.0	0.0.0.0
6bxc	A	D	0.0.0.0	0.0.0.0
4pgj	B	A	d.2.1.2	b.1.1.1
2f4m	A	B	d.3.1.4	a.189.1.1
4xoi	B	A	0.0.0.0	c.37.1.8
5mxa	A	B	0.0.0.0	0.0.0.0
5do9	B	A	a.91.1.0	0.0.0.0
2io0	A	B	d.3.1.7	d.15.1.1
4y61	A	B	0.0.0.0	0.0.0.0
4nqd	F	C	b.1.1.2	d.19.1.0
1t6g	A	C	b.50.1.2	b.29.1.11
5iib	B	A	0.0.0.0	a.19.1.1
3bs5	B	A	a.60.1.0	0.0.0.0
4az8	A	B	b.1.11.1:b.7.2.0	b.2.3.2
1nhe	B	A	c.68.1.2	d.2.1.2
4cj1	A	B	0.0.0.0	0.0.0.0
4u8h	B	A	0.0.0.0	a.99.1.1:c.28.1.0
5czd	A	B	0.0.0.0	0.0.0.0
3vqx	D	C	0.0.0.0	0.0.0.0
3rea	B	A	b.34.2.1	d.102.1.1
1tf0	B	A	a.8.1.2	a.126.1.1:a.126.1.1:a.126.1.1
4r7d	A	B	0.0.0.0	b.1.1.0:b.1.1.2
3aqf	B	A	0.0.0.0	0.0.0.0
3au1	B	A	b.1.1.2	b.1.1.2:d.19.1.0
1n0l	B	A	b.2.3.2	b.1.11.1:b.7.2.1
3f8u	A	B	0.0.0.0	0.0.0.0
3v3k	B	A	0.0.0.0	0.0.0.0
4k3d	H	L	0.0.0.0	b.1.1.0:b.1.1.0
4iru	A	B	0.0.0.0	0.0.0.0
4m70	I	J	0.0.0.0	0.0.0.0
3uz0	B	A	0.0.0.0	0.0.0.0
4b8a	A	B	0.0.0.0	c.55.3.9
3a58	B	A	c.37.1.8	0.0.0.0
4un2	A	B	d.15.1.1	a.5.2.1
4niy	A	E	b.47.1.2	b.16.1.1
5tl7	A	B	d.15.1.0	d.15.1.0:d.3.1.23
4ywz	B	A	0.0.0.0	0.0.0.0
5hpk	A	B	d.148.1.0	d.15.1.1
2uxx	B	A	a.4.1.3:h.1.35.1	a.4.1.18:c.3.1.2:d.16.1.5
1hl6	B	A	d.232.1.1	d.58.7.1
6fg8	A	B	0.0.0.0	0.0.0.0
3myr	A	B	e.19.1.0	e.18.1.0
5ja9	A	C	b.1.1.1	0.0.0.0
4uea	D	C	0.0.0.0	0.0.0.0
1mvf	E	A	b.129.1.1	b.1.1.1
4fp9	E	C	0.0.0.0	0.0.0.0
6bn1	A	B	0.0.0.0	0.0.0.0
4lx0	B	A	0.0.0.0	c.37.1.8
5uq2	B	A	0.0.0.0	d.144.1.7
1sib	I	E	d.40.1.1	c.41.1.1
4ydy	I	A	0.0.0.0	0.0.0.0
4zrl	A	B	0.0.0.0	0.0.0.0
1kiu	B	A	b.2.3.2:b.2.3.2	b.1.11.1:b.7.2.1
5y7y	A	B	0.0.0.0	0.0.0.0
4pou	B	A	b.1.1.1	d.5.1.1
3r8b	A	B	b.40.2.2:d.15.6.1	b.1.1.1
1s70	A	B	d.159.1.3	d.211.1.1
1i4e	B	A	c.17.1.1	b.28.1.1
2qvs	B	E	0.0.0.0	d.144.1.7
2qxv	B	A	0.0.0.0	0.0.0.0
3f62	B	A	b.42.1.2	0.0.0.0
3w8i	B	A	0.0.0.0	0.0.0.0
5gpg	B	A	a.24.7.1	d.26.1.1
5jsu	B	A	0.0.0.0	e.19.1.1
5wxk	A	B	0.0.0.0	0.0.0.0
2z8w	A	D	0.0.0.0	b.1.1.1
3c7n	B	A	b.130.1.1:c.55.1.1:c.55.1.1	0.0.0.0
3d4u	A	B	c.56.5.0	g.9.1.3:g.9.1.3
4kbq	A	C	a.118.8.0	a.8.4.1
5j03	A	B	0.0.0.0	a.39.1.5
3zu7	B	A	0.0.0.0	0.0.0.0
3pse	B	A	d.15.1.1:d.15.1.1	0.0.0.0
5ufp	B	A	d.110.3.0	d.110.3.7
1n54	A	B	a.118.1.14:a.118.1.14:a.118.1.14	d.58.7.1
4lo8	B	A	0.0.0.0	0.0.0.0
2dx5	A	B	b.55.1.12	d.15.1.1
5yix	B	A	0.0.0.0	0.0.0.0
4wsz	A	B	0.0.0.0	0.0.0.0
5w3x	A	B	0.0.0.0	g.79.1.0
6b73	D	A	b.1.1.1	0.0.0.0
3vf0	A	B	a.24.9.1	0.0.0.0
5brr	E	I	0.0.0.0	e.1.1.1
5t0f	B	A	0.0.0.0	0.0.0.0
1y96	B	A	0.0.0.0	0.0.0.0
1dow	B	A	0.0.0.0	a.24.9.1
4y97	B	A	0.0.0.0	0.0.0.0
5lsl	A	E	d.58.7.0	0.0.0.0
2bex	C	A	d.5.1.1	c.10.1.1
3ny7	B	A	a.28.1.1	0.0.0.0
4gbx	D	C	0.0.0.0	0.0.0.0
3fcu	A	B	b.69.8.1	0.0.0.0
3m1c	A	B	0.0.0.0	0.0.0.0
3tx7	B	A	a.123.1.0	a.118.1.1
2ckz	D	C	0.0.0.0	0.0.0.0
6fr4	A	B	b.1.1.0:b.1.1.2	b.1.1.0:b.1.1.0
5tbk	A	K	0.0.0.0	0.0.0.0
4ons	A	B	0.0.0.0	0.0.0.0
2c1p	B	A	0.0.0.0	b.1.1.0:b.1.1.2
3dof	A	B	0.0.0.0	0.0.0.0
5hy7	A	D	0.0.0.0	0.0.0.0
4z9k	B	A	b.1.1.1	d.165.1.1
3tg1	A	B	d.144.1.7	0.0.0.0
5nus	A	B	0.0.0.0	0.0.0.0
5djt	B	A	a.8.1.1	0.0.0.0
2wy3	A	B	d.19.1.0	0.0.0.0
5ifr	A	B	d.20.1.1	d.15.1.1
1xqs	A	C	a.118.1.21	0.0.0.0
1nun	B	A	b.1.1.4:b.1.1.4	b.42.1.1
4tq1	A	B	0.0.0.0	0.0.0.0
3v6i	A	B	0.0.0.0	0.0.0.0
4bgd	C	A	c.97.3.0	0.0.0.0
1ft2	B	A	a.102.4.3	a.118.6.1
3n1g	C	B	b.1.2.1	d.65.1.2
4kk5	D	C	b.1.1.0:b.1.1.2	0.0.0.0
5j4a	A	B	0.0.0.0	0.0.0.0
2e2d	A	C	d.92.1.11	b.40.3.1
5f1o	B	A	b.1.1.0	c.23.14.3
4ljp	B	A	d.15.1.1	0.0.0.0
4k5b	D	A	0.0.0.0	0.0.0.0
5t86	I	A	0.0.0.0	0.0.0.0
5wb8	C	A	g.3.11.0	0.0.0.0
5ufe	B	A	b.34.13.1	c.37.1.8
4c02	A	B	d.144.1.7	d.26.1.0
5v7x	A	B	0.0.0.0	0.0.0.0
2xv6	D	C	b.1.1.1	a.28.3.1
1e50	A	B	b.2.5.6	b.54.1.1
1jtd	B	A	b.69.5.2	e.3.1.1
2bkk	A	B	d.144.1.6	0.0.0.0
4p4r	A	B	b.1.1.0:d.19.1.0	0.0.0.0
4sgb	I	E	g.69.1.1	b.47.1.1
4rwt	D	A	0.0.0.0	c.55.1.0:c.55.1.1
2w8b	A	H	b.68.4.1:c.51.2.0	d.79.7.1
5lxq	A	B	0.0.0.0	0.0.0.0
4lwz	A	B	c.37.1.8	a.118.27.1
2cg5	A	B	0.0.0.0	a.28.1.1
4nzl	B	A	0.0.0.0	b.47.1.2
3gym	I	A	g.8.1.1	b.47.1.0
2ode	A	B	0.0.0.0	a.91.1.1
4qam	A	B	0.0.0.0	0.0.0.0
1y4h	C	A	b.61.2.2	d.3.1.1
5c4g	E	B	0.0.0.0	0.0.0.0
1r3h	B	A	b.1.1.2	b.1.1.2:d.19.1.1
2zfd	A	B	a.39.1.5	0.0.0.0
1ppf	I	E	g.68.1.1	b.47.1.2
4zry	B	A	0.0.0.0	0.0.0.0
3zc7	A	B	0.0.0.0	0.0.0.0
6c15	A	B	0.0.0.0	0.0.0.0
3mon	B	A	d.17.1.1	0.0.0.0
2nz8	B	A	a.87.1.1:b.55.1.1	c.37.1.8
5jkc	B	A	0.0.0.0	0.0.0.0
5mak	B	A	0.0.0.0	0.0.0.0
4m3k	B	A	b.1.1.1	e.3.1.1
4dbq	B	A	a.39.1.5	0.0.0.0
2iy1	A	B	d.3.1.7	d.15.1.0
4ofy	D	A	0.0.0.0	0.0.0.0
5o8w	A	B	0.0.0.0	d.58.12.1
4g6u	B	A	d.351.1.0	0.0.0.0
3nbh	B	A	0.0.0.0	0.0.0.0
4d8p	B	A	0.0.0.0	0.0.0.0
1ku6	B	A	g.7.1.1	c.69.1.1
3dbx	B	A	b.1.1.2	b.1.1.0:d.19.1.0
3n9y	C	A	d.15.4.1	a.104.1.0
3qi2	A	C	0.0.0.0	0.0.0.0
5l8k	B	A	b.1.1.1	d.144.1.7
5yah	C	B	0.0.0.0	0.0.0.0
3d31	A	C	b.40.6.3:c.37.1.12	f.58.1.1
4gzr	B	A	0.0.0.0	0.0.0.0
2z2s	B	A	0.0.0.0	0.0.0.0
3m7f	B	A	0.0.0.0	d.93.1.1
4pc6	C	A	a.5.2.2:d.43.1.1:d.43.1.1	b.43.3.0:b.44.1.0:c.37.1.8
2vpd	B	A	0.0.0.0	0.0.0.0
3uzv	A	B	b.1.18.4	b.1.1.0:b.1.1.0
2ptt	B	A	0.0.0.0	0.0.0.0
4joi	D	A	0.0.0.0	0.0.0.0
5nfy	A	M	0.0.0.0	0.0.0.0
3ohm	B	A	0.0.0.0	0.0.0.0
1zt2	C	D	0.0.0.0	a.262.1.1
4yga	B	A	b.1.1.0	0.0.0.0
4lx3	B	A	0.0.0.0	0.0.0.0
4a49	A	B	0.0.0.0	d.20.1.1
2cdg	B	A	b.1.1.0:b.1.1.0	b.1.1.0:b.1.1.2
4qt8	C	A	b.47.1.0	0.0.0.0
4bch	B	A	a.74.1.1:a.74.1.1	d.144.1.7
5mv8	B	A	0.0.0.0	0.0.0.0
4wkz	B	A	0.0.0.0	0.0.0.0
3qc8	B	A	d.15.1.2	b.52.2.3:d.31.1.1
5v4n	C	A	0.0.0.0	0.0.0.0
1dce	A	B	a.118.6.1:b.7.4.1:c.10.2.2	a.102.4.3
1mr1	A	D	b.26.1.1	d.217.1.2
4nqw	B	A	0.0.0.0	0.0.0.0
5m14	A	C	0.0.0.0	0.0.0.0
5tl6	A	B	d.15.1.0	d.15.1.0:d.3.1.23
4emj	B	A	b.33.1.0	0.0.0.0
4g7x	B	A	0.0.0.0	0.0.0.0
1smp	I	A	b.61.2.1	b.80.7.1:d.92.1.6
2nqd	A	B	b.1.26.1	d.3.1.0
2i5j	B	A	e.8.1.2	c.55.3.0:e.8.1.2
2zhx	B	A	d.17.5.1	c.18.1.0
3scj	E	A	d.318.1.1	d.92.1.5
3uze	B	D	b.1.1.0:b.1.1.0	0.0.0.0
1ogy	B	A	a.138.1.3	b.52.2.2:c.81.1.1
5z1g	A	D	0.0.0.0	0.0.0.0
5c7m	C	A	d.15.1.1	d.148.1.0
2oxh	Z	Y	b.1.18.0	0.0.0.0
5by8	B	A	0.0.0.0	0.0.0.0
5g53	C	A	0.0.0.0	0.0.0.0
3hvq	C	A	0.0.0.0	d.159.1.3
4wwi	A	D	a.8.1.1	b.1.1.0:b.1.1.0
1iar	B	A	b.1.2.1:b.1.2.1	a.26.1.2
4dnc	A	D	d.108.1.1	0.0.0.0
2zzp	B	A	d.15.1.3	d.3.1.22
3vz9	B	D	0.0.0.0	0.0.0.0
5t47	A	B	d.86.1.0	0.0.0.0
6b58	A	B	0.0.0.0	a.218.1.0
3lcb	B	C	0.0.0.0	c.77.1.1
3pnl	A	B	c.119.1.2	a.208.1.0
3axj	A	B	a.118.16.0	0.0.0.0
5jfc	L	S	0.0.0.0	0.0.0.0
5efq	A	B	d.144.1.0	a.74.1.1:a.74.1.1
5fq2	B	A	0.0.0.0	d.20.1.1
2i3s	B	A	0.0.0.0	b.69.4.2
1agr	E	A	a.91.1.1	a.66.1.1:c.37.1.8
1u6h	A	B	0.0.0.0	0.0.0.0
6ch2	D	A	0.0.0.0	0.0.0.0
5ub5	A	B	0.0.0.0	g.3.11.0
2hth	A	B	d.15.1.1	b.55.1.12
4bjj	B	A	0.0.0.0	0.0.0.0
3czu	B	A	b.6.1.0	b.18.1.0
4anj	B	A	a.39.1.5	0.0.0.0
3u82	A	B	b.1.1.1	0.0.0.0
5lgd	A	B	0.0.0.0	0.0.0.0
2j7q	A	B	d.3.1.20	d.15.1.1
4f8c	A	B	0.0.0.0	d.15.1.1
3wo3	A	B	b.42.1.2	0.0.0.0
6fge	A	C	0.0.0.0	d.15.1.1
5k39	A	B	b.2.2.0	a.139.1.0:b.3.2.0
5jp3	A	B	0.0.0.0	d.15.1.1
3qjf	B	A	b.1.1.0:b.1.1.0	b.1.1.0:b.1.1.2
4zlt	B	F	0.0.0.0	d.9.1.0
5cm8	A	B	0.0.0.0	c.37.1.0
3uyp	A	B	b.1.1.0:b.1.1.0	b.1.18.0
3pc8	D	B	c.15.1.2	c.15.1.1
3hr4	B	A	a.39.1.5	0.0.0.0
2ot8	A	C	0.0.0.0	0.0.0.0
5jw9	A	B	0.0.0.0	h.4.17.0
3rtr	H	G	0.0.0.0	0.0.0.0
5wuq	A	C	0.0.0.0	0.0.0.0
4f0a	A	B	0.0.0.0	0.0.0.0
1h2a	L	S	e.18.1.1	e.19.1.1
2jgz	A	B	d.144.1.7	0.0.0.0
2wpn	A	B	e.19.1.1	e.18.1.1
5wp3	B	A	0.0.0.0	0.0.0.0
2j8x	B	A	d.17.5.1	c.18.1.1
3ab3	A	B	a.66.1.1:c.37.1.8	a.91.1.0
4yry	B	A	0.0.0.0	0.0.0.0
5uzu	B	A	0.0.0.0	0.0.0.0
1uzx	A	B	d.20.1.2	d.15.1.1
4gft	B	A	b.1.1.1	a.39.1.0
1or7	C	A	a.180.1.1	a.177.1.1:a.4.13.2
3k2m	D	A	b.1.2.0	d.93.1.1
3mmy	A	B	0.0.0.0	0.0.0.0
6bxa	A	C	0.0.0.0	c.10.2.0
2g4d	B	A	d.15.1.1	d.3.1.7
5bv1	B	A	0.0.0.0	0.0.0.0
1mzw	B	A	0.0.0.0	b.62.1.1
4mnh	A	B	0.0.0.0	0.0.0.0
4lld	B	A	b.1.1.0	0.0.0.0
6ch3	B	A	0.0.0.0	0.0.0.0
3gjn	B	D	d.4.1.1	a.28.2.1
2x83	A	B	0.0.0.0	0.0.0.0
2qc1	A	B	g.7.1.1	b.96.1.0
5lsb	B	A	0.0.0.0	0.0.0.0
3mcb	A	B	0.0.0.0	0.0.0.0
4qbd	A	B	0.0.0.0	0.0.0.0
1shz	A	C	a.66.1.1:c.37.1.8	a.91.1.0
4b2a	B	A	d.40.1.1	b.47.1.2
3ll8	D	C	0.0.0.0	0.0.0.0
2xze	B	R	0.0.0.0	0.0.0.0
5hxg	B	A	0.0.0.0	0.0.0.0
4zgq	B	A	0.0.0.0	0.0.0.0
4cvw	A	C	0.0.0.0	a.52.1.0
3hcu	B	A	d.20.1.1	0.0.0.0
5un6	E	A	0.0.0.0	0.0.0.0
1m10	A	B	c.62.1.1	c.10.2.7
4c9v	B	A	g.3.9.0	0.0.0.0
2xb6	A	C	c.69.1.0	b.29.1.4
3cki	A	B	d.92.1.10	b.40.3.0
4u30	A	X	b.47.1.2	g.8.1.0
3sqb	B	A	0.0.0.0	0.0.0.0
3cr3	D	B	c.54.1.2	a.208.1.1
2a1w	H	L	b.1.1.2	b.1.1.0:b.1.1.1
3fbn	A	B	0.0.0.0	0.0.0.0
2apo	B	A	g.41.16.1	b.122.1.1:d.265.1.2
4s10	C	A	d.109.1.1	b.1.1.1
3vep	X	D	0.0.0.0	0.0.0.0
3reb	A	B	0.0.0.0	0.0.0.0
4ct4	A	B	0.0.0.0	c.37.1.0:c.37.1.0
3zef	D	E	a.118.29.1:b.182.1.1	0.0.0.0
2w55	B	A	0.0.0.0	0.0.0.0
3kf6	B	A	0.0.0.0	0.0.0.0
3tnu	A	B	0.0.0.0	0.0.0.0
4pb0	H	L	0.0.0.0	b.1.1.0:b.1.1.2
5ms2	B	A	d.15.1.3	0.0.0.0
3gqb	A	B	a.69.1.2:b.49.1.2:b.84.5.1:c.37.1.11	a.69.1.2:b.49.1.2:c.37.1.11
5oyl	D	A	g.12.1.1	e.76.1.2
4wq4	A	C	0.0.0.0	c.55.1.0:c.55.1.0
3oed	C	A	g.18.1.1:g.18.1.1	a.102.4.4
5oaq	A	L	0.0.0.0	0.0.0.0
4ct0	B	A	0.0.0.0	a.99.1.1:c.28.1.1
4gn5	D	A	d.2.1.2	0.0.0.0
1w7i	B	A	a.39.1.5	b.34.3.0:c.37.1.9
4fbj	B	A	d.15.1.1	0.0.0.0
4f38	A	B	c.37.1.8	b.1.18.8
5dse	B	A	0.0.0.0	0.0.0.0
6fjy	B	A	0.0.0.0	0.0.0.0
2auh	A	B	d.144.1.7	0.0.0.0
3oq3	A	B	a.26.1.3	0.0.0.0
2doi	X	C	g.14.1.1:g.14.1.1	0.0.0.0
5lxm	D	A	0.0.0.0	0.0.0.0
5a34	B	A	0.0.0.0	0.0.0.0
5wts	B	A	a.42.1.1	0.0.0.0
4zgy	B	A	d.108.1.7	0.0.0.0
5jqp	A	B	0.0.0.0	0.0.0.0
1hni	A	B	c.55.3.1:e.8.1.2	e.8.1.2
4fq3	B	A	0.0.0.0	a.118.1.1
3v4y	B	A	0.0.0.0	d.159.1.3
4yaq	L	H	b.1.1.0:b.1.1.2	0.0.0.0
2q76	B	A	b.1.1.2	b.1.1.1:b.1.1.2
1fs0	G	E	c.49.2.1	a.2.10.1:b.93.1.1
2ojz	L	H	b.1.1.1:b.1.1.2	b.1.1.2
4m5d	B	A	0.0.0.0	0.0.0.0
5dtf	B	A	0.0.0.0	0.0.0.0
2iwt	A	B	c.47.1.0	b.42.4.1
3n1f	D	A	b.1.2.1	d.65.1.2
5j7c	A	C	d.2.1.2	b.1.2.0
3a98	A	B	0.0.0.0	0.0.0.0
6g3w	B	A	0.0.0.0	0.0.0.0
1gng	A	X	d.144.1.7	0.0.0.0
3sy2	D	A	0.0.0.0	0.0.0.0
3lb8	A	C	0.0.0.0	d.15.4.1
6bx4	C	A	b.1.2.0	0.0.0.0
2omt	A	B	b.1.18.15:c.10.2.1	b.1.6.1
3cph	A	G	c.37.1.0	c.3.1.0:c.3.1.3:d.16.1.0
5jg6	B	A	d.15.1.0	0.0.0.0
1avx	A	B	b.47.1.2	b.42.4.1
1ukv	Y	G	c.37.1.8	c.3.1.3:c.3.1.3:d.16.1.6
6f1y	f	j	0.0.0.0	0.0.0.0
5cxc	A	B	0.0.0.0	0.0.0.0
4wwx	B	X	0.0.0.0	0.0.0.0
3ma2	D	C	d.92.1.11	b.40.3.1
4po6	B	A	0.0.0.0	0.0.0.0
3owe	B	A	b.40.2.0:d.15.6.0	b.1.1.1
4qko	B	A	d.4.1.0	a.28.2.0
4bik	B	A	0.0.0.0	0.0.0.0
4um8	B	A	0.0.0.0	b.1.15.0:b.69.8.1
4g0n	A	B	c.37.1.8	d.15.1.5
4ilh	A	B	c.55.3.14	a.118.29.1:b.182.1.1
4iop	A	B	0.0.0.0	0.0.0.0
2ibi	A	B	d.3.1.9	d.15.1.1
5bw0	B	A	0.0.0.0	d.24.1.0
1gzh	B	A	c.15.1.4:c.15.1.4	b.2.5.2
4a94	A	D	0.0.0.0	0.0.0.0
4l2y	B	A	0.0.0.0	0.0.0.0
3qdr	B	A	0.0.0.0	d.212.1.1
3k75	B	D	b.18.1.8	a.60.12.1:d.218.1.2
5ep6	A	B	0.0.0.0	0.0.0.0
5czo	A	C	0.0.0.0	0.0.0.0
4uj5	C	A	0.0.0.0	c.37.1.0
5aaw	C	A	0.0.0.0	0.0.0.0
5oed	B	A	c.37.1.0	0.0.0.0
3uir	C	A	g.8.1.0	b.47.1.2
3w3z	B	A	c.37.1.8	0.0.0.0
1f45	B	A	a.26.1.1	b.1.1.4:b.1.2.1:b.1.2.1
4e4w	B	A	0.0.0.0	0.0.0.0
3wqb	A	B	0.0.0.0	0.0.0.0
4ww1	B	A	b.1.1.0:b.1.1.0	b.1.1.0:b.1.1.2
6blx	B	A	0.0.0.0	b.1.1.2:d.19.1.1
4bru	B	A	0.0.0.0	0.0.0.0
3d3c	A	J	a.79.1.1	0.0.0.0
2v5q	B	C	0.0.0.0	k.37.1.1
5t46	B	A	0.0.0.0	d.86.1.1
4kyi	A	B	0.0.0.0	c.37.1.0
4jeu	A	B	0.0.0.0	0.0.0.0
5iee	A	B	0.0.0.0	0.0.0.0
5f7w	C	A	b.1.1.1	0.0.0.0
5dju	B	A	a.8.1.1	0.0.0.0
6al4	B	A	0.0.0.0	b.1.1.0:b.1.1.2
5e1h	B	A	b.1.1.1	d.165.1.1
4kpu	A	B	0.0.0.0	c.26.2.0
3d1m	D	A	b.1.2.1	d.65.1.2
4ovn	A	F	a.39.1.5	0.0.0.0
1npe	B	A	g.3.11.2:g.3.11.2:g.3.11.2	b.68.5.1
2nud	A	C	e.45.1.1	0.0.0.0
4weu	B	D	0.0.0.0	b.1.1.1
3ufx	B	A	0.0.0.0	c.2.1.0:c.23.4.0
3m18	B	A	d.2.1.2	0.0.0.0
1pq1	A	B	f.1.4.1	j.35.1.1
3w9c	B	A	d.15.4.1	a.104.1.1
5vxm	B	A	b.1.1.0	a.250.1.1
1ki1	B	A	a.87.1.1:b.55.1.1	c.37.1.8
4gq2	M	P	0.0.0.0	0.0.0.0
5hvg	A	B	0.0.0.0	b.1.1.1
5mtn	B	A	0.0.0.0	0.0.0.0
1svd	A	M	c.1.14.1:d.58.9.1	d.73.1.1
4pvz	A	C	a.118.1.1	0.0.0.0
4w2o	A	B	0.0.0.0	0.0.0.0
4gd3	S	L	0.0.0.0	0.0.0.0
4bd9	A	B	0.0.0.0	g.8.1.0:g.8.1.0:g.8.1.0
2f9z	C	A	d.194.1.3	d.252.1.1
4p5m	B	A	0.0.0.0	b.1.1.0:d.19.1.0
3au4	A	B	0.0.0.0	0.0.0.0
3ia3	D	A	0.0.0.0	0.0.0.0
5fi0	B	A	0.0.0.0	0.0.0.0
3nmz	D	B	0.0.0.0	0.0.0.0
3zpv	V	U	0.0.0.0	0.0.0.0
4kf5	A	C	0.0.0.0	0.0.0.0
5ce3	A	B	c.55.1.0:c.55.1.1	0.0.0.0
1he1	C	A	c.37.1.8	a.24.11.1
4bmp	A	B	a.25.1.0	0.0.0.0
5ijb	A	C	0.0.0.0	0.0.0.0
2fcw	B	A	g.12.1.1:g.12.1.1	a.13.1.1
4iao	A	C	0.0.0.0	0.0.0.0
2ik8	B	A	a.91.1.1	a.66.1.1:c.37.1.8
4zir	A	B	0.0.0.0	0.0.0.0
1d4x	G	A	d.109.1.1	c.55.1.1:c.55.1.1
4b93	A	B	0.0.0.0	0.0.0.0
4p57	B	A	0.0.0.0	b.1.1.0:d.19.1.0
5k1b	B	A	0.0.0.0	0.0.0.0
4a63	B	A	b.34.2.0:d.211.1.1	b.2.5.2
5irc	A	F	a.116.1.0	c.37.1.8
4rr2	C	D	0.0.0.0	0.0.0.0
4cht	A	B	0.0.0.0	0.0.0.0
1gaq	A	B	b.43.4.2:c.25.1.1	d.15.4.1
2j9u	A	B	a.24.28.1	g.41.11.1
2y3n	D	C	a.139.1.0	b.2.2.2
5vnw	D	A	0.0.0.0	0.0.0.0
1am4	D	A	c.37.1.8	a.116.1.1
1yc0	A	I	b.47.1.2	g.8.1.0
3we6	B	A	b.1.1.1:b.1.1.2	0.0.0.0
4ksl	U	V	0.0.0.0	d.15.1.1:d.15.1.1
4dvg	B	A	0.0.0.0	c.37.1.8
5jfz	B	A	0.0.0.0	0.0.0.0
4zqd	A	B	0.0.0.0	0.0.0.0
2iyb	E	A	0.0.0.0	b.55.1.4
3eab	A	G	0.0.0.0	0.0.0.0
1jow	B	A	d.144.1.7	a.74.1.1:a.74.1.1
2qkm	C	D	0.0.0.0	a.242.1.1:d.113.1.7
3u7u	G	A	0.0.0.0	c.10.2.0:c.10.2.0:g.3.9.0
5fr2	B	A	0.0.0.0	0.0.0.0
2dsp	I	B	g.1.1.1	g.3.9.1
3k7w	A	C	a.118.1.2	d.159.1.3
4lfh	D	G	b.1.1.0:b.1.1.0	b.1.1.0:b.1.1.2
1c0f	A	S	c.55.1.1:c.55.1.1	d.109.1.1
4bfi	B	A	0.0.0.0	0.0.0.0
2aq1	A	B	b.1.1.1	b.40.2.2:d.15.6.1
3oac	C	D	0.0.0.0	a.128.1.0
5xly	A	B	0.0.0.0	b.45.2.1
3eu5	A	B	a.118.6.1	a.102.4.3
5uv8	B	A	a.26.1.2	0.0.0.0
4y8d	C	A	b.1.1.1	0.0.0.0
3kq4	B	A	0.0.0.0	0.0.0.0
3sf4	A	D	0.0.0.0	0.0.0.0
5itd	B	A	0.0.0.0	0.0.0.0
4pwv	A	B	a.104.1.0	a.28.1.0
4dbg	B	A	0.0.0.0	0.0.0.0
4p3y	B	A	c.47.1.0	b.43.3.0:b.44.1.0:c.37.1.8
4lyl	A	B	c.18.1.1	d.17.5.1
5m0y	A	B	b.2.2.2	a.139.1.0:b.3.2.0
1zr0	B	A	g.8.1.1	b.47.1.2
